Date,Price,Open,High,Low,Vol,Change
15-Jul-11,"3,326.57","3,302.57","3,326.57","3,295.66",-,0.73%
14-Jul-11,"3,302.44","3,355.61","3,376.63","3,290.99",-,-1.61%
13-Jul-11,"3,356.44","3,352.97","3,396.62","3,337.83",-,0.23%
12-Jul-11,"3,348.63","3,388.82","3,390.41","3,339.92",-,-1.40%
11-Jul-11,"3,396.20","3,468.18","3,468.18","3,387.94",-,-2.15%
8-Jul-11,"3,470.74","3,488.28","3,488.28","3,444.58",-,-0.47%
7-Jul-11,"3,487.21","3,465.47","3,503.04","3,465.47",-,0.74%
6-Jul-11,"3,461.75","3,430.18","3,461.75","3,411.26",-,0.92%
5-Jul-11,"3,430.18","3,417.11","3,433.65","3,412.20",-,0.35%
4-Jul-11,"3,418.11","3,396.58","3,419.47","3,393.14",-,0.65%
1-Jul-11,"3,396.00","3,360.62","3,400.88","3,360.62",-,1.05%
30-Jun-11,"3,360.64","3,354.59","3,386.40","3,354.59",-,0.20%
29-Jun-11,"3,353.82","3,327.53","3,355.89","3,327.53",-,0.81%
28-Jun-11,"3,326.94","3,315.93","3,350.88","3,315.93",-,0.37%
27-Jun-11,"3,314.71","3,288.27","3,314.71","3,288.27",-,0.82%
24-Jun-11,"3,287.62","3,315.32","3,324.51","3,283.83",-,-0.79%
23-Jun-11,"3,313.88","3,324.73","3,324.73","3,263.35",-,-0.59%
22-Jun-11,"3,333.58","3,329.60","3,336.07","3,312.37",-,0.11%
21-Jun-11,"3,330.02","3,274.66","3,333.00","3,274.66",-,1.86%
17-Jun-11,"3,269.28","3,240.09","3,269.28","3,239.32",-,1.06%
16-Jun-11,"3,235.00","3,244.09","3,246.65","3,204.91",-,-0.28%
15-Jun-11,"3,244.09","3,265.62","3,276.29","3,225.64",-,-0.66%
14-Jun-11,"3,265.62","3,226.66","3,269.12","3,206.32",-,1.98%
13-Jun-11,"3,202.28","3,229.79","3,229.79","3,185.16",-,-0.79%
10-Jun-11,"3,227.77","3,233.53","3,233.86","3,183.41",-,-0.16%
9-Jun-11,"3,232.86","3,122.02","3,233.54","3,122.02",-,3.51%
8-Jun-11,"3,123.29","3,125.64","3,139.64","3,109.95",-,-0.06%
7-Jun-11,"3,125.01","3,122.33","3,143.63","3,118.68",-,0.09%
6-Jun-11,"3,122.08","3,164.30","3,164.30","3,113.18",-,-1.36%
3-Jun-11,"3,164.97","3,148.46","3,172.71","3,133.35",-,0.46%
2-Jun-11,"3,150.34","3,176.61","3,184.03","3,134.81",-,-0.82%
1-Jun-11,"3,176.36","3,250.29","3,250.29","3,168.14",-,-2.29%
31-May-11,"3,250.91","3,247.37","3,272.21","3,232.44",-,0.19%
30-May-11,"3,244.79","3,266.23","3,270.17","3,236.05",-,-0.64%
27-May-11,"3,265.82","3,268.38","3,287.98","3,261.42",-,-0.08%
26-May-11,"3,268.55","3,281.17","3,281.17","3,232.74",-,-0.42%
24-May-11,"3,282.41","3,326.45","3,346.37","3,279.04",-,-1.22%
23-May-11,"3,323.07","3,374.34","3,374.90","3,310.58",-,-1.79%
20-May-11,"3,383.79","3,384.76","3,393.11","3,370.53",-,-0.06%
19-May-11,"3,385.77","3,394.40","3,394.40","3,376.41",-,-0.09%
18-May-11,"3,388.75","3,365.25","3,395.69","3,365.25",-,0.70%
17-May-11,"3,365.25","3,369.37","3,369.76","3,342.80",-,-0.21%
16-May-11,"3,372.21","3,378.61","3,414.78","3,358.16",-,-0.18%
13-May-11,"3,378.18","3,390.39","3,398.08","3,367.78",-,-0.34%
12-May-11,"3,389.73","3,383.33","3,392.83","3,357.20",-,0.15%
11-May-11,"3,384.57","3,424.61","3,428.46","3,375.75",-,-1.10%
10-May-11,"3,422.12","3,356.56","3,422.12","3,356.56",-,1.88%
9-May-11,"3,359.07","3,314.18","3,359.07","3,294.07",-,1.30%
6-May-11,"3,315.84","3,306.67","3,365.39","3,306.67",-,0.31%
5-May-11,"3,305.69","3,347.11","3,347.11","3,291.95",-,-1.39%
4-May-11,"3,352.22","3,374.70","3,374.70","3,320.30",-,-0.68%
3-May-11,"3,375.34","3,395.01","3,395.01","3,354.90",-,-0.60%
2-May-11,"3,395.64","3,407.59","3,428.09","3,392.16",-,-0.30%
29-Apr-11,"3,406.02","3,375.32","3,419.77","3,374.08",-,0.89%
28-Apr-11,"3,375.96","3,378.53","3,383.42","3,359.05",-,-0.04%
27-Apr-11,"3,377.29","3,373.64","3,377.29","3,340.67",-,0.09%
26-Apr-11,"3,374.20","3,401.82","3,409.45","3,368.74",-,-0.79%
25-Apr-11,"3,401.15","3,415.96","3,416.65","3,393.63",-,-0.37%
20-Apr-11,"3,413.94","3,338.28","3,413.94","3,336.05",-,2.45%
19-Apr-11,"3,332.27","3,305.03","3,337.62","3,305.03",-,0.95%
18-Apr-11,"3,300.98","3,380.14","3,380.14","3,290.67",-,-2.37%
15-Apr-11,"3,381.25","3,381.57","3,395.38","3,355.02",-,-0.01%
14-Apr-11,"3,381.57","3,403.77","3,403.77","3,357.86",-,-0.75%
13-Apr-11,"3,407.24","3,401.55","3,407.24","3,372.15",-,0.17%
12-Apr-11,"3,401.55","3,446.49","3,446.49","3,376.25",-,-1.35%
11-Apr-11,"3,448.12","3,481.99","3,488.54","3,440.23",-,-0.93%
8-Apr-11,"3,480.39","3,465.44","3,486.20","3,456.09",-,0.69%
7-Apr-11,"3,456.52","3,503.99","3,509.60","3,446.95",-,-1.35%
